prompt,task_type_1,task_type_2,task_type_prob,creativity_scope,reasoning,contextual_knowledge,number_of_few_shots,domain_knowledge,no_label_reason,constraint_ct,prompt_complexity_score
what is the best library for a cli frontend in python,Open QA,NA,0.915,0.0043,0.0067,0.0465,0,0.9577,0.0,0.0257,0.15301
what is the distance between 2 atoms,Open QA,NA,0.989,0.0063,0.0143,0.0637,0,0.5755,0.0,0.0101,0.09681
what is the country with the cheapest luxury access safest,Open QA,NA,0.993,0.0028,0.0396,0.3076,0,0.4661,0.0,0.0119,0.09796
"How do I print 'Hello, World!' in Python?",Open QA,NA,0.986,0.0069,0.0074,0.0082,0,0.8803,0.0,0.049,0.14407
What does git clone do?,Open QA,NA,0.989,0.0034,0.0048,0.1333,0,0.6385,0.0,0.0071,0.10589
How do I check my Python version?,Open QA,NA,0.984,0.0034,0.0069,0.2392,0,0.916,0.0,0.0118,0.15404
What is a for loop?,Open QA,NA,0.987,0.0037,0.0118,0.129,0,0.6848,0.0,0.0097,0.11487
How do I install a package using pip?,Open QA,NA,0.98,0.004,0.0048,0.085,0,0.951,0.0,0.0132,0.15148
I get 'SyntaxError: invalid syntax' in Python. What does this mean?,Open QA,NA,0.972,0.0012,0.0615,0.3448,0,0.9214,0.0,0.0107,0.17285
My React app says 'undefined is not a function.' How do I fix it?,Open QA,NA,0.968,0.0051,0.0297,0.086,0,0.9812,0.0,0.0459,0.16757
Why am I getting a 404 error on my API request?,Open QA,NA,0.97,0.0034,0.028,0.6478,0,0.9008,0.0,0.0085,0.17697
How do I resolve 'Merge conflict' in Git?,Open QA,NA,0.98,0.0056,0.0056,0.0186,0,0.931,0.0,0.0118,0.14571
My Docker container keeps exiting. What should I check?,Open QA,NA,0.944,0.0036,0.0545,0.8077,0,0.8879,0.0,0.0058,0.18932
"Explain object-oriented programming (OOP) in simple terms.""",Open QA,NA,0.822,0.0089,0.1232,0.0209,0,0.9164,0.0,0.1403,0.19346
What’s the difference between HTTP and HTTPS?,Open QA,NA,0.995,0.0018,0.0095,0.0355,0,0.6884,0.0,0.0136,0.11008
How does a blockchain work?,Open QA,NA,0.986,0.0075,0.0221,0.0289,0,0.7621,0.0,0.023,0.12736
What is the difference between SQL and NoSQL databases?,Open QA,NA,0.992,0.0017,0.0081,0.0369,0,0.8165,0.0,0.0191,0.12981
Explain Big O notation with an example.,Open QA,Brainstorming,0.624,0.113,0.2374,0.092,0,0.836,0.0,0.6118,0.32067
Write a Python function to reverse a linked list.,Code Generation,NA,0.949,0.0281,0.0198,0.102,0,0.9938,0.0,0.1345,0.18913
How would you design a URL-shortening service like Bit.ly?,Open QA,NA,0.954,0.0238,0.0197,0.0374,0.0758,0.961,0.0,0.1018,0.17833
Explain how you’d optimize a slow SQL query.,Open QA,NA,0.806,0.0474,0.1633,0.0389,0,0.9542,0.0,0.0954,0.2168
Write a recursive function to calculate Fibonacci numbers.,Code Generation,NA,0.843,0.025,0.026,0.1254,0,0.9844,0.0,0.1773,0.19578
How do you implement JWT authentication in a Node.js API?,Open QA,NA,0.872,0.0092,0.0146,0.0462,0,0.9903,0.0,0.1099,0.17421
How do I create a new React component?,Open QA,NA,0.975,0.008,0.0071,0.0475,0,0.9591,0.0,0.0183,0.15356
What’s the difference between TensorFlow and PyTorch?,Open QA,NA,0.993,0.0029,0.0135,0.0443,0,0.8732,0.0,0.0227,0.14099
How do I deploy a Flask app on AWS?,Open QA,NA,0.98,0.006,0.006,0.0192,0,0.9071,0.0,0.0197,0.14358
Explain how Redux works in React.,Open QA,NA,0.928,0.0067,0.0545,0.0423,0,0.8902,0.0,0.0763,0.16306
How do I use useEffect in React?,Open QA,NA,0.979,0.0048,0.0088,0.0163,0,0.9237,0.0,0.0221,0.14657
What are some best practices for writing clean code?,Open QA,NA,0.863,0.0096,0.0072,0.0994,0,0.7383,0.0,0.0465,0.12785
How can I make my website load faster?,Open QA,NA,0.989,0.0083,0.0049,0.1866,0,0.7022,0.0,0.0089,0.12013
What’s the best way to handle secrets in a GitHub repository?,Open QA,NA,0.991,0.0053,0.0049,0.03,0,0.7127,0.0,0.0155,0.11381
How do I prevent SQL injection in my backend?,Open QA,NA,0.982,0.0065,0.0117,0.0657,0,0.9408,0.0,0.0371,0.15517
"What are microservices, and when should I use them?",Open QA,NA,0.977,0.0103,0.0368,0.047,0,0.773,0.0,0.2736,0.17214
How would you design Twitter’s backend?,Open QA,NA,0.959,0.0486,0.0564,0.0597,0,0.8706,0.0,0.0767,0.17619
What’s the best database for a real-time chat app?,Open QA,NA,0.987,0.0107,0.0065,0.0225,0,0.4126,0.0,0.0215,0.07161
How do you handle millions of requests per second?,Open QA,NA,0.988,0.0144,0.1076,0.155,0,0.7634,0.0,0.0598,0.16317
Explain how caching works in distributed systems.,Open QA,NA,0.949,0.0132,0.0614,0.0405,0,0.8847,0.0,0.062,0.164
